Poligono A,Poligono B,Sobreposicao_ha,Sobreposicao_m2
SE 2,SE 3,0.0049,49.1
SF 7,SG 6,0.0049,48.7
ST2 20,ST01,0.0043,43.1
ST1 3,ST1 5,0.0043,42.7
SA 9,SL 25B,0.004,40.0
GD P7,GD 8,0.0036,35.9
SL 22,SL 24,0.0036,35.7
SE 6,SF 2,0.0036,35.7
DR 6B,DR 6C,0.0036,35.6
SE 13,SE 14,0.0033,32.5
SE 10,SE 11,0.003,29.6
DR 1A,DR 1B,0.003,29.5
ST1 Piq,ST1 7,0.0029,28.9
DR 2A,DR 2B,0.0028,27.6
SF 11,SL 10 Varjão,0.0027,27.2
SA 5,SA 6,0.0026,26.5
GD P6,GD P7,0.0026,26.5
ST17,PV05,0.0025,25.4
ST1 2A,ST1 2B,0.0025,25.1
DR 6A,DR 6B,0.0022,21.9
SD 8,SL 31,0.002,20.4
SD 3,SD 2,0.0019,19.2
GD P3,GD P4,0.0019,18.6
SF 9,SF 10,0.0018,18.2
GD Piq,GD Piq 2,0.0018,18.0
ST06,ST01,0.0017,17.1
SB 7,SB 8,0.0016,15.6
SF 3,SF 4,0.0013,12.8
SA 8,SA 9,0.0012,12.2
ST10,EUC03,0.0011,10.7
PV04,PV05,0.0009,9.2
SF 5,SG 1,0.0009,9.0
SB 6,SA 3,0.0009,9.0
ST1 2B,ST1 4,0.0009,8.7
SE 5,SF 3,0.0008,7.8
SB 4,SL 15,0.0007,7.1
SF 8,SG 9,0.0006,5.6
SB 8,SB 9,0.0005,4.6
SF 10,SL 1A,0.0003,3.1
SA 9,SL 26B,0.0002,2.0
SF 7,SG 7,0.0002,1.5
ST1 8,ST1 10 Varjão,0.0002,1.5
SE 6,SF 1,0.0001,1.3
ST2 7B,ST2 7C,0.0001,1.1
